NO,DATE,TEMP,HUM,PM 1.0,PM 2.5,PM 10,CO2,HCHO,CO,NO2,RN,VOCs,O3,SO2,H2S,O2,NH3,AB,BattV,Heater,Blackout
70,2023-07-20_15:42:48,23.5,67.5,38.4,40.3,40.3,2402,0,0,0,0,272.1,0,0,0,294,0,0,0,0,0
71,2023-07-20_15:43:48,23.5,66,38.8,40.7,40.7,2852,0,0,0,0,289.7,0,0,0,293,0,0,0,0,0
72,2023-07-20_15:44:48,23.5,66.1,39,40.9,40.9,2168,0,0,0,0,289.7,0,0,0,304,0,0,0,0,0
73,2023-07-20_15:45:49,23.5,63.7,38.9,40.8,40.8,1982,0,0,0,0,298.5,0,0,0,308,0,0,0,0,0
74,2023-07-20_15:46:49,23.5,61.9,37.3,39.1,39.1,1872,0,0,0,0,298.6,0,0,0,310,0,0,0,0,0
75,2023-07-20_15:47:49,23.4,60.4,36.3,38,38,1830,0,0,0,0,289.7,0,0,0,312,0,0,0,0,0
76,2023-07-20_15:48:49,23.4,59.4,38.3,40.2,40.2,1801,0,0,0,0,307.4,0,0,0,322,0,0,0,0,0
77,2023-07-20_15:49:49,23.4,59.6,37,38.8,38.8,1780,0,0,0,0,298.7,0,0,0,328,0,0,0,0,0
78,2023-07-20_15:50:50,23.4,61.7,37,38.8,38.8,1757,0,0,0,0,379,0,0,0,331,0,0,0,0,0
79,2023-07-20_15:51:50,23.4,61.6,35.7,37.4,37.4,1747,0,0,0,0,352.1,0,0,0,334,0,0,0,0,0
80,2023-07-20_15:52:50,23.4,61.5,34.5,36.2,36.2,1734,0,0,0,0,352.1,0,0,0,346,0,0,0,0,0
81,2023-07-20_15:53:50,23.4,63.1,36.8,38.6,38.6,1713,0,0,0,0,352,0,0,0,342,0,0,0,0,0
82,2023-07-20_15:54:50,23.5,63.7,35.9,37.7,37.7,1699,0,0,0,0,369.9,0,0,0,358,0,0,0,0,0
83,2023-07-20_15:55:51,23.6,63.3,33.8,35.5,35.5,1699,0,0,0,0,369.8,0,0,0,354,0,0,0,0,0
84,2023-07-20_15:56:51,23.7,62.3,34.7,36.4,36.4,1685,0,0,0,0,360.7,0,0,0,358,0,0,0,0,0
85,2023-07-20_15:57:51,23.7,59.8,34.4,36.1,36.1,1676,0,0,0,0,351.7,0,0,0,359,0,0,0,0,0
86,2023-07-20_15:58:51,23.8,58,34.7,36.3,36.3,1666,0,0,0,0,342.7,0,0,0,364,0,0,0,0,0
87,2023-07-20_15:59:51,23.8,57.2,35.4,37.1,37.1,1652,0,0,0,0,342.6,0,0,0,370,0,0,0,0,0
88,2023-07-20_16:00:52,23.8,56.5,34.8,36.5,36.5,1642,0,0,0,0,333.7,0,0,0,374,0,0,0,0,0
89,2023-07-20_16:01:52,23.8,57.2,35.1,36.8,36.8,1628,0,0,0,0,333.7,0,0,0,380,0,0,0,0,0
90,2023-07-20_16:02:52,23.8,57.8,33.9,35.6,35.6,1614,0,0,0,0,333.8,0,0,0,380,0,0,0,0,0
91,2023-07-20_16:03:52,23.8,58.5,33.8,35.4,35.4,1600,0,0,0,0,333.8,0,0,0,398,0,0,0,0,0
92,2023-07-20_16:04:52,23.8,59.1,32.5,34.1,34.1,1590,0,0,0,0,333.8,0,0,0,391,0,0,0,0,0
93,2023-07-20_16:05:53,23.8,59.9,34.6,36.3,36.3,1582,0,0,0,0,342.7,0,0,0,395,0,0,0,0,0
94,2023-07-20_16:06:53,23.8,60.8,35.1,36.8,36.8,1573,0,0,0,0,360.5,0,0,0,401,0,0,0,0,0
95,2023-07-20_16:07:53,23.9,61.1,33,34.6,34.6,1563,0,0,0,0,378.4,0,0,0,404,0,0,0,0,0
96,2023-07-20_16:08:53,23.9,60.5,34.4,36,36,1555,0,0,0,0,369.4,0,0,0,408,0,0,0,0,0
97,2023-07-20_16:09:53,24,60.5,34.2,35.9,35.9,1551,0,0,0,0,360.3,0,0,0,409,0,0,0,0,0
98,2023-07-20_16:10:54,24,57.8,34.9,36.6,36.6,1545,0,0,0,0,333.5,0,0,0,418,0,0,0,0,0
99,2023-07-20_16:11:54,24.1,57.2,32.1,33.7,33.7,1532,0,0,0,0,333.4,0,0,0,420,0,0,0,0,0
100,2023-07-20_16:12:54,24.1,55.9,31.8,33.3,33.3,1522,0,0,0,0,333.4,0,0,0,433,0,0,0,0,0
101,2023-07-20_16:13:54,24.1,54.8,33.5,35.2,35.2,1511,0,0,0,0,324.5,0,0,0,426,0,0,0,0,0
102,2023-07-20_16:14:54,24.1,55,35,36.7,36.7,1497,0,0,0,0,333.4,0,0,0,455,0,0,0,0,0
